Crosspost,Original,Exists
pfhilc,osn9mf,False
pfhb25,pfc2d9,False
pfh2w2,pfh2rq,False
pfghl6,pfc537,False
pfcs2h,pf3xo4,False
pf8fpo,pf8ff4,False
pf4n90,pex2cg,False
pf4li5,peubmk,False
pf3x95,peww8w,False
pevnj3,peveao,False
petceh,pel3o5,False
pek3wp,pek3pw,False
pehq7p,pehq2t,False
pegxs5,peavf4,False
peg7wp,peahy7,False
pefxgd,peftsg,False
pe7fbb,kgc4bx,False
pe63ko,97i2d2,False
pe5fq9,pe5esx,False
pe263a,pe13v5,True
pdzgm6,pdzgej,False
pdwydo,pdwxqn,False
pdux0s,pduvdf,False
pdugvf,pdubqe,False
pdrlp8,oc11p3,False
pdjv2w,pdddzf,False
pdh4qt,pdcm67,False
pdf8ne,pdd4ie,True
pdda01,pdblg5,False
pdd7jh,pdapm4,True
pdcp0k,pd5pwb,False
pdbrz9,kkivg5,False
pdb0hi,pd65we,True
pdapkt,mwuhtg,False
pd9a3l,pd96vn,True
pd99hx,pd999m,False
pd8hbu,pd8h13,False
pd72lt,pd71u4,False
pd6jst,pd6j81,False
pd5tcc,pd5t64,False
pcxtp0,pcm2p4,False
pct3u4,pct3gr,False
pcoxnq,pcoji2,True
pcog99,pcodbt,False
pcm18x,pclxj4,False
pccqxq,pbx7t3,False
pcbe2r,pc19h3,True
pcahxn,pc37az,False
pc7ofr,pc68a3,False
pbzm1z,pbzloz,False
pbzash,pbz85o,False
pbyfcx,pbyf6l,False
pbydbe,pbya1l,False
pbx911,pbx8vm,False
pbx6tf,pbx43p,False
pbli02,pbarq1,True
pbf9dz,pbf4f5,False
pb9u0v,pb9pf1,False
pb8cv1,pb8ck8,False
pb8b4h,pb8axs,False
pb7zij,pb7xyd,False
pay3zm,pals0m,False
paxwul,pambr5,False
paxsnz,pamhpe,False
patojl,pato1f,False
pak8im,paaoib,False
pak4sg,pak4p0,False
pak23f,pak1mq,False
pagmny,pacz75,True
pa9ge0,pa9g71,False
pa93gt,pa93ba,False
pa32m3,pa309z,False
pa0c67,p9x867,False
p9xn5n,p9xmv6,False
p9prgj,p9oo4e,True
p9plip,p9n6im,False
p9pbo4,p9kqdh,False
p9lcpm,nhr391,False
p9jnom,odo7q0,False
p9ha9d,p9c86g,False
p9f5a3,nb19y9,False
p9diot,p9de8z,False
p9ctv9,p9ctop,False
p9cirg,p9ch58,False
p9bzw6,p9byrd,False
p9bnln,p9bnes,False
p9awv5,p9awl0,False
p96oj8,p9593i,True
p94vdt,p94t7z,False
p93fud,p91y6f,False
p92v1u,p8vgd5,False
p922fi,p9226y,False
p91v3o,p8z94q,True
p907gv,p8sgic,False
p8z1m4,p8z1fs,False
p8xwge,p8xw8x,False
p8xlnr,p8tvc6,False
p8x55o,p8v8a9,False
p8sqsp,p8sqnt,False
p8rwq2,p8ru9e,False
p8r3g8,p8r3ac,False
p8qui9,p8qspw,False
p8q97j,p8dz69,False
p8q66m,p8q60q,False
p8iude,p8iqhg,False
p8fwty,p8fulk,False
p83zt4,p7t8fs,False
p83yh0,p7qcmc,False
p7slwy,p7khuy,False
p7pyp8,p7pxvp,False
p7lxba,p7lq25,False
p7k98n,p7k77w,False
p7idq8,p7e0jx,False
p7d8yp,p71s8s,False
p7bomy,p73y0s,False
p741bh,p73zeu,False
p71z44,p71ywx,False
p71l51,p71kyw,False
p6xu0x,p6xs72,False
p6rojn,p6qejg,False
p6rkne,p6govf,False
p6qp6h,p6qmx0,False
p6oqps,p6oocr,False
p6g34a,p6fzc9,False
p6ddp1,p6cwh9,True
p6ai5m,p6ahfy,False
p65hda,p65h10,False
p64vlc,p5uoo2,False
p649vc,p647f2,False
p5qndf,p5ctl4,False
p56kup,p56kkx,False
p53ja9,p53ide,False
p4z9m1,p4h2gr,False
p4yk66,p4wskz,False
p4u8on,p4u88e,False
p4ts6d,p4tqc6,False
p4s7y4,p4s7sa,False
p4s1h4,p4s16c,False
p4i6kj,p4i676,False
p4bs28,p4bqry,True
p48zu6,p48zc5,False
p3xhr5,p3xhma,False
p3wvk5,p38u2k,False
p3w3j5,brhyb3,False
p3uw58,fn5nqg,False
p3optl,p3oof5,False
p3o0yl,p3nz8b,False
p3n95w,p3lhbl,True
p3lmc8,p3gl02,False
p3ddk9,p39u0v,False
p3dawv,p3dahu,False
p3d087,p3a4qf,False
p3cs1q,p38qnx,False
p3cdkp,p350ky,False
p3awrj,p39021,False
p3a6yx,p3a6us,False
p30mnz,p2ylmq,True
p2xknf,p2xk1f,False
p2oxw5,p2ouu2,False
p2o1su,p2o1fv,False
p2g6j2,p2g61e,False
p2dv9t,p2dusa,False
p2d8f1,p2cjvj,False
p2anvy,p2ans4,False
p2ahg8,p2ahad,False
p1wgwn,p1t5ae,False
p1tel4,p1qctm,False
p1p2vc,p1p2fq,False
p1nbpz,p1grue,False
pbnll0,pbe8nj,False
p4sfdf,p4s0n1,True
pfkya8,pfky50,False
pfbio6,pf4qev,False
perj0h,peqh6w,False
pen2ks,pe5n05,True
pegx6r,pe6dyb,False
pec5k1,pe4j8n,False
pe52ps,pdyqqe,True
pe4k68,pdxfxz,False
pe3qbi,97i2d2,False
pe0wc2,p00keq,False
pdzp69,pdz987,False
pdqmf6,pdpmr2,True
pdo2xm,pdnzf3,False
pdnxdj,oq2ntk,False
